
Année,"1975","1980","1985","1990","1995","1996","1997","1998","1999","2000"
"     Luxembourg",21614,24402,33673,123374,44779,49474,42325,70203,50739,38036
"     Allemagne",252206,283787,248476,373387,294054,348765,427913,497185,326621,275423
"     Belgique",208848,233971,140182,197588,230970,228631,273222,267280,220120,185203
"     France",85031,68114,77986,104022,278501,309554,333835,505125,372717,248805
"     Pays-Bas",70948,73742,85927,119252,76939,81120,103347,125295,88079,132415
"     Autres pays de l'UE",49,9989,23615,43168,127095,149017,189007,197833,157323,146403
